engagement_code,engagement_name,start_date,end_date,brand_id,brand_name,how,ambiguous
RCSO2401,마비노기 넥슨에센셜(온라인몰),2024-07-15,2024-09-30,,,,
RCPU2417,던전밥 팝업스토어(더현서),2025-01-09,2025-01-15,,,,
RCPU2533,KBL팝업,2025-07-29,2025-08-04,,,,
RCPU2646,에이티즈,2026-10-23,2026-11-01,,,,
RIPU2521,LPGA 인터내셔널 크라운 갤러리플라자 홍보부스 운영,2025-10-23,2025-10-26,,,,
RCPU2558,애플뮤직 이창섭_더현대서울,2025-10-23,2025-10-29,,,,
RXPU2502,스몰브랜더 브랜더스 홀리데이,2025-04-04,2025-04-06,,,,
RCCP2510,용산 아이파크몰 행사_르플랑에떼,2025-04-04,2025-04-17,,,,
RCST2509,팝가스토어 현대백화점 판교점,2025-04-04,,,,,
RCPU2565,안경만두_서일페,2025-12-25,2025-12-28,,,,
RTPU2533,짱구X현대아울렛 짱구스토어 (김포/송도),2025-06-06,2025-06-26,,,,
ROPU2619,WT_Bruce Russell 방문 행사,2026-08-20,2026-08-21,,,,
RTPU2523,클리오 로프트 팝업스토어,2025-04-19,2025-05-25,,,,
RTPU2524,언오피셜오피스 샘플링 프로모션,2025-04-19,2025-04-19,,,,
RIPU2525,MUSINSA 소담상회 팝업스토어,2025-12-26,2025-12-28,,,,
RCPU2545,스테이지성수_구미래마켓_요거트월드,2025-08-08,2025-08-10,,,,
RRPM2505,스테이지 엑스 성수 차봇,2025-09-01,2026-08-31,,,,
RRPM2506,스테이지 엑스 성수 페스타,2025-09-01,2026-02-28,,,,
RTPU2549,엔자임 한국주택금융공사 팝업스토어,2025-09-01,,,,,
RCPU2537,선문대학교 해달이 프렌즈,2025-09-01,,,,,
ROPU2611,레디영_여름시즌매장연출,2026-07-12,2026-08-31,,,,
RTPU2422,룰루레몬에이팩 행사,2024-10-10,2024-10-13,,,,
RCCP2511,트레이더스 수원_키즈망고,2025-04-07,2025-04-19,,,,
RIPU2519,네이버페이 전시부스,2025-11-19,2025-11-22,,,,
RCPU2406,익산시 문화도시지원센터 디즈니팝업,2024-04-30,2024-05-07,atpb_40c79f98f6,디즈니,앞토큰,
RTPU2407,뚝딱구조대 팝업스토어 설치용역,2024-04-30,2024-05-01,,,,
RXPU2404,롯데호텔 포켓몬 포토존,2024-04-30,2024-04-30,,,,
RCPU2403,린트 초콜릿,2024-02-03,2024-02-25,,,,
RCPU2542,테이크원 엔하이픈_더현대서울,2025-10-24,2025-11-09,,,,
RTPU2535,원피스X현대아울렛 원피스스토어 (김포/대전),2025-10-24,2025-12-28,,,,
RCPU2624,메디큐브_롯데 부산,2026-05-01,2026-05-14,,,,
RTPU2642,슈퍼탐사대 오프라인 캠페인,2026-05-01,2026-06-01,,,,
RTPU2629,웨이든 성수 팝업스토어(1차),2026-05-01,2026-05-10,,,,
RTPU2620,에코백스 팝업스토어,2026-05-01,2026-05-10,,,,
RTPU2638,애드리치 롯데칠성 팝업스토어,2026-05-01,2026-05-11,,,,
RCPU2616,스카이랩스_현대판교,2026-04-03,2026-04-16,,,,
RCPU2621,K패션협회_현대무역,2026-04-03,2026-04-09,,,,
RIPU2607,엑소코바이오 팝업스토어,2026-06-19,2026-06-29,,,,
RCPU2635,디즈니K헤리티지_신세계강남,2026-06-19,2026-07-02,atpb_40c79f98f6,디즈니,앞토큰,
RCPU2633,농심_성수52,2026-06-19,2026-12-27,,,,
RCPU2513,넥스지_성수EQL팝업스토어,2025-04-30,2025-05-11,,,,
RTPU2639,대교 써밋 스타런 TWS 오프라인 팬미팅,2026-08-22,2026-08-22,,,,
RTPU2565,서울스카이X주술회전 체험회,2025-12-12,2026-02-27,,,,
RCPU2560,진도곱창김_성수,2025-12-12,2025-12-14,,,,
RIPU2523,MUSINSA TOPS Connect Shop,2025-12-12,2025-12-14,,,,
RCPU2507,나이키 우먼 레이스x비클린,2025-05-10,2025-05-10,,,,
RIPU2522,유노윤호 'I-KNOW' VIP 리스닝 파티 및 사진전,2025-11-04,2025-11-09,,,,
RCPU2434,잔망루피 스타필드 코엑스몰,2024-12-10,2024-12-25,,,,
RCPU2638,토이스토리5_신세계5개점,2026-07-01,2026-07-30,,,,
RTPU2630,웨이든 성수 팝업스토어(2차),2026-07-01,2026-07-10,,,,
RCPU2527,뭉순임당_더현대서울,2025-08-07,2025-08-13,,,,
RRPM2504,스테이지 엑스 성수 52,2025-07-01,2030-12-15,,,,
RRPM2503,스테이지 엑스 T Factory 성수,2025-07-01,2026-10-31,,,,
RCPU2544,삼성 SDS굿즈제작,2025-07-01,2025-09-30,,,,
RTPU2652,롯데백화점 청량리점 그랜드 오픈 마케팅 캠페인,2026-10-21,2026-11-02,,,,
RCPU2515,2025 모빌리티쇼 벤츠 굿즈존_킨텍스,2025-04-03,2025-04-13,,,,
RXPU2411,농협중앙회 도농상생 안테나숍,2024-10-25,2024-12-25,,,,
RCPU2536,ITZY팝업스토어_성수_HS공업사,2025-09-18,2025-09-25,,,,
RTPU2508,엔자임 밴티브 런칭 사내 이벤트,2025-02-04,2025-02-04,,,,
RTPU2516,2025 짱구 팝업스토어 (용산/청주),2025-08-06,2025-09-14,,,,
RXPU2410,포토이즘(서북) x 최래성,2024-09-05,2024-09-12,,,,
RTPU2519,강동 아이파크 더 리버 OPEN MKT,2025-04-15,,,,,
RCPU2521,EVSIS EV TREND,2025-06-03,2025-06-05,,,,
RCPU2520,진똑개풍이_더현대서울,2025-06-03,2025-06-18,,,,
RTPU2426,오리온 톡핑 팝업스토어,2024-03-13,2024-03-15,,,,
RCPU2523,카카오스타일 사내행사_스테이지 성수,2025-06-16,2025-06-16,,,,
RCPU2625,로제_부산엘시티,2026-04-17,2026-05-17,,,,
RTPU2602,2026 GOCF,2026-04-17,2026-04-19,,,,
RCPU2414,덴티스테 팝업스토어 프로모터 지원,2024-07-01,2024-07-31,,,,
RCPU2539,더보이즈,2025-08-20,2025-09-10,,,,
RXPU2415,오콘(뽀로로) 팝업스토어,2024-12-24,2025-01-16,,,,
RTPU2640,2026 클래시클럽 한국 디지털 마케팅 대행,2026-02-01,2026-03-31,,,,
RXPU2508,로로티 팝업스토어 전산시스템 구축,2025-05-13,2025-05-26,,,,
RXPU2514,우리은행 인천 외국인 라운지,2025-09-16,2026-04-19,,,,
RTPU2445,안테나 x 최고심 팝업스토어,2024-12-26,2025-01-05,,,,
RCPU2410,신카이마코토 SHOP# (더현서),2024-05-27,2024-06-09,,,,
RCPU2538,벤츠 마이바흐_브랜드센터,2025-07-14,2025-07-15,,,,
RTPU2421,"원피스 팝업스토어(더현대 서울,대구)",2024-06-20,2024-06-26,,,,
RCPU2412,비에꼴(에이프릴폴로)팝업스토어,2024-06-20,2024-06-26,,,,
RCPU2603,코페르_명동역,2025-12-23,2026-01-04,,,,
RTPU2585,산타빌리지 고래사 브랜드 부스 시공,2025-11-27,2025-12-25,,,,
RCPU2518,폴싯(비스트킹덤)_더현대서울,2025-06-02,2025-06-15,,,,
RTPU2406,카스온라인 FGT,2024-04-07,2024-04-07,,,,
