project_code,project_name,operating_from,operating_to,spot_id,spot_title,open_date,close_date,rn
RCPU2606,주토피아_추가 3개점 (클랩스 x 주토피아2),2025-12-22,2026-01-22,4567,주토피아 2 팝업 - 시크릿 미션,2025-11-15,2025-12-03,1
RCPU2606,주토피아_추가 3개점 (클랩스 x 주토피아2),2025-12-22,2026-01-22,4650,주토피아2 팝업 - 메가박스 코엑스,2025-11-20,2025-12-10,2
RCPU2606,주토피아_추가 3개점 (클랩스 x 주토피아2),2025-12-22,2026-01-22,4651,주토피아2 팝업 - 메가박스 수원AK,2025-11-20,2025-12-21,3
RCPU2606,주토피아_추가 3개점 (클랩스 x 주토피아2),2025-12-22,2026-01-22,4652,주토피아2 팝업 - 메가박스 더부티크목동현대백화점,2025-11-21,2025-12-21,4
RCPU2606,주토피아_추가 3개점 (클랩스 x 주토피아2),2025-12-22,2026-01-22,4653,주토피아2 팝업 - 메가박스 구의 이스트폴,2025-11-21,2025-12-21,5
RCPU2609,쿠키런 스위트랜드_오크밸리,2025-12-20,2026-02-18,5059,쿠키런 스위트랜드 스노우 어드벤처 이벤트 - 원주,2025-12-20,2026-02-18,1
RCPU2610,딥퍼랑스_무신사 뷰티,2026-01-14,2026-01-25,5267,딥퍼랑스 팝업,2026-01-14,2026-01-25,1
RTPU2606,베리즈(Verries) 팝업스토어 — 더현대서울 B2,2026-01-22,2026-01-28,5095,베리즈 팝업,2026-01-22,2026-01-28,1
RTPU2606,베리즈(Verries) 팝업스토어 — 더현대서울 B2,2026-01-22,2026-01-28,5341,베리즈 팝업,2026-01-22,2026-01-28,2
RTPU2606,베리즈(Verries) 팝업스토어 — 더현대서울 B2,2026-01-22,2026-01-28,5561,베리즈 팝업,2026-02-19,2026-02-25,3
