project_code,gross,net,months,first_period,last_period
RCGD2402,1874960.0,1874960.0,1,2024-07-01,2024-07-01
RXPI2405,3.18162125E8,1.10143161E8,3,2024-07-01,2024-12-01
RCSN2412,1.6180019E8,1531451.0,5,2024-07-01,2024-12-01
RCSN2416,6.7052378E7,-2.2770502E7,6,2024-07-01,2024-12-01
RCSO2402,1194365.0,-3232745.0,10,2024-07-01,2025-04-01
RCGD2304,1.8E8,1.455E8,2,2024-07-01,2024-12-01
RCSN2408,3.436503E7,4627131.0,6,2024-07-01,2024-12-01
RCSN2405,2.84597698E8,-1.4993548E7,6,2024-07-01,2024-12-01
RCSN2401,2.37537241E8,-3.1963029E7,6,2024-07-01,2024-12-01
RCSN2404,1.60806664E8,-2.3968179E7,6,2024-07-01,2024-12-01
RCSN2406,1.84753033E8,-6720258.0,6,2024-07-01,2024-12-01
RCSN2407,3.0325336E7,-2.1167739E7,3,2024-07-01,2024-12-01
RCSN2402,2.55333796E8,-4.1026329E7,6,2024-07-01,2024-12-01
RCSN2403,1.39643928E8,-4.1026303E7,6,2024-07-01,2024-12-01
RCSO2415,4795638.0,-8437914.0,5,2024-07-01,2025-01-01
RCGD2403,3.93757836E8,3.47557836E8,2,2024-08-01,2024-12-01
RCSO2401,9.6941128E7,9.6941128E7,5,2024-08-01,2024-12-01
RTPU2438,4402000.0,528240.0,2,2024-08-01,2024-09-01
RTSO2401,1.715285113E9,6.68142781E8,5,2024-08-01,2024-12-01
RTSO2402,5.373014E7,5.373014E7,9,2024-09-01,2025-07-01
RCGD2404,1.224E7,1.224E7,2,2024-10-01,2024-11-01
RCGD2406,5000000.0,5000000.0,1,2024-10-01,2024-10-01
RXPI2403,2.0827029E7,-7.0513348E7,2,2024-10-01,2024-12-01
RCSN2417,3.02119604E8,1.78595377E8,3,2024-10-01,2024-12-01
RCSN2415,1.4484864E7,-7.8632464E7,2,2024-10-01,2024-12-01
SCSN2421,8212375.0,-7.3911388E7,2,2024-10-01,2024-11-01
RTPU2441,6036544.0,6036544.0,1,2024-10-01,2024-10-01
RCPU2432,4082194.0,140825.0,2,2024-10-01,2024-11-01
RXPU2411,1.0453019E7,511590.0,4,2024-10-01,2025-01-01
RTPU2444,694272.0,694272.0,1,2024-10-01,2024-10-01
RCSN2300,2.7658001E7,8830078.0,2,2024-11-01,2024-12-01
